production_run_id,date,plant_id,product_id,operator_id,quantity_produced,quantity_defective,downtime_minutes,energy_consumed_kwh
289,2/26/2024,5,2,8,326,9,1,766.41
290,2/26/2024,4,1,11,110,1,1,1777.97
291,2/26/2024,5,2,13,317,3,10,734.71
292,2/27/2024,1,4,7,225,7,11,998.72
293,2/27/2024,4,1,18,163,1,7,2645.26
294,2/27/2024,1,4,1,332,4,6,1446.99
295,2/27/2024,2,6,16,104,4,16,83.52
296,2/27/2024,3,7,3,15,0,18,234.61
297,2/27/2024,4,1,8,96,2,10,1566.72
1,1/1/2024,2,6,5,102,5,18,83.73
299,2/28/2024,4,10,4,165,4,10,972.68
300,2/28/2024,2,6,13,121,3,0,99.51
301,2/28/2024,4,1,4,142,3,158,2413.63
302,2/28/2024,4,10,3,,4,78,1259.06
303,2/29/2024,2,2,11,375,5,13,871.06
231,2/15/2024,2,2,19,397,5,17,939.39
305,2/29/2024,4,1,14,152,4,12,2482.88
306,2/29/2024,3,7,18,16,0,8,223.59
307,2/29/2024,3,9,8,705,11,18,78.48
308,2/29/2024,2,2,8,422,11,1,990.86
309,3/1/2024,5,3,12,4,0,11,295.36
310,3/1/2024,1,7,12,18,0,15,268.68
311,3/1/2024,2,6,2,103,4,0,67.04
312,3/1/2024,5,2,5,380,12,1,866.68
313,3/2/2024,2,2,17,388,4,5,916.29
314,3/2/2024,4,10,11,219,3,9,1305.81
315,3/2/2024,3,5,6,297,6,1,196.28
316,3/2/2024,3,9,8,1040,16,2,41.92
317,3/2/2024,3,5,3,312,7,0,207.81
318,3/2/2024,2,8,3,655,8,269,293.8
319,3/2/2024,2,6,16,138,6,18,109.09
320,3/3/2024,2,6,3,101,4,2,76.41
321,3/3/2024,1,4,20,327,8,13,1416.43
322,3/3/2024,1,4,7,361,10,17,1568.46
323,3/3/2024,3,7,8,12,0,1,175.23
324,3/4/2024,1,4,20,298,6,2,1297.04
325,3/4/2024,1,4,13,278,2,12,1208.5
326,3/4/2024,4,10,6,196,3,8,1165.97
327,3/4/2024,2,8,4,670,12,18,73.7
328,3/4/2024,1,4,17,286,4,7,1250.15
329,3/4/2024,1,4,2,301,7,19,1310.35
231,2/15/2024,2,2,19,397,5,17,939.39
331,3/5/2024,2,8,9,664,3,17,79.33
332,3/5/2024,3,7,17,13,0,16,216.57
333,3/5/2024,1,4,5,234,7,3,1029.41
334,3/5/2024,1,4,18,247,3,5,1074.77
335,3/5/2024,2,8,20,862,11,7,69.29
336,3/6/2024,3,7,1,11,0,3,188.8
337,3/6/2024,2,2,10,487,8,13,1140.35
338,3/6/2024,1,1,15,188,5,16,3062.46
339,3/6/2024,1,4,17,266,3,5,1152.21
340,3/6/2024,2,2,8,382,9,12,904.52
341,3/6/2024,1,7,1,13,0,15,207.98
342,3/7/2024,3,5,9,301,3,5,228.75
343,3/7/2024,2,2,8,425,10,49,1024.41
344,3/7/2024,2,8,6,820,6,9,94.91
345,3/7/2024,3,7,13,17,0,16,268.27
346,3/7/2024,4,1,1,151,2,20,2465.75
347,3/8/2024,3,9,4,992,16,8,46.69
348,3/8/2024,3,5,5,251,7,19,191.96
349,3/8/2024,3,9,5,1165,29,13,59.88
350,3/8/2024,1,7,19,16,0,20,257.4
351,3/8/2024,3,9,10,1118,4,8,67.77
352,3/9/2024,2,8,11,,3,13,102.32
353,3/9/2024,3,7,9,15,0,343,495.11
354,3/9/2024,5,2,16,480,15,9,1113.72
355,3/9/2024,2,2,7,379,11,5,889.8
356,3/9/2024,2,6,3,99,4,15,79.41
357,3/9/2024,1,7,7,15,0,7,230.84
358,3/9/2024,3,7,5,11,0,68,213.83
359,3/10/2024,4,10,14,117,3,12,693.11
360,3/10/2024,2,8,5,801,18,12,102.72
361,3/10/2024,3,9,20,1120,12,13,60.57
362,3/10/2024,1,7,9,14,0,9,209.03
363,3/10/2024,1,7,17,12,0,3,182.86
364,3/11/2024,1,4,4,343,9,16,1519.47
365,3/11/2024,3,9,14,945,18,15,54.12
366,3/11/2024,1,1,3,157,3,3,2560.59
367,3/11/2024,2,6,10,112,4,9,79.21
368,3/11/2024,3,7,4,15,0,19,223.43
369,3/11/2024,1,4,11,259,4,12,1147.95
370,3/11/2024,4,10,6,169,3,14,1000.2
371,3/12/2024,3,9,1,991,4,2,41.88
372,3/12/2024,3,5,17,290,4,10,212.76
373,3/12/2024,5,2,14,422,12,12,975.05
374,3/12/2024,5,2,1,417,5,5,955.24
375,3/12/2024,4,10,8,187,4,12,1110.98
376,3/12/2024,2,2,15,,9,10,891.25
377,3/13/2024,1,1,13,142,1,19,2335.73
378,3/13/2024,3,9,18,770,5,1,58.86
379,3/13/2024,4,10,18,234,3,14,1371.26
380,3/13/2024,2,2,11,359,6,11,854.63
381,3/13/2024,1,1,16,100,3,19,1633.04
382,3/13/2024,1,4,7,284,8,13,1229.26
383,3/14/2024,1,4,15,243,6,266,1289.1
384,3/14/2024,4,1,19,105,1,12,1716.35
385,3/14/2024,5,2,9,384,4,4,893.71
386,3/14/2024,5,3,18,6,0,6,383.19
387,3/14/2024,3,9,12,818,23,11,57.65
388,3/14/2024,5,3,18,3,0,0,205.23
389,3/14/2024,1,7,2,10,0,8,147.26
390,3/15/2024,3,5,18,285,3,9,215.92
391,3/15/2024,1,4,13,269,3,1,1154.57
392,3/15/2024,3,5,20,245,6,11,196
393,3/16/2024,5,2,7,374,11,5,884.9
394,3/16/2024,1,4,2,287,6,8,1236.38
395,3/16/2024,4,1,2,130,2,19,2138.93
396,3/16/2024,3,7,19,15,0,5,222.32
397,3/16/2024,5,2,14,407,11,10,946.99
398,3/16/2024,3,5,20,213,5,1,165.9
399,3/16/2024,3,7,4,,0,11,214.37
400,3/17/2024,4,10,2,169,3,3,990.85
401,3/17/2024,5,2,3,319,6,3,738.37
402,3/17/2024,4,1,5,133,3,8,2160.71
403,3/17/2024,4,10,14,184,5,77,1159.84
404,3/17/2024,5,2,3,370,7,19,861.16
405,3/17/2024,4,10,13,177,2,17,1053.15
406,3/17/2024,2,6,12,133,7,12,97.61
407,3/18/2024,3,5,12,276,9,8,189.77
408,3/18/2024,2,8,19,782,3,95,140.82
409,3/18/2024,5,3,11,4,0,2,287.6
410,3/19/2024,4,10,11,208,3,11,1247.11
411,3/19/2024,4,1,1,116,1,8,1906
412,3/19/2024,2,8,11,944,4,17,84.59
413,3/19/2024,5,2,9,442,6,20,1023.56
414,3/19/2024,1,1,17,177,2,6,2883.05
415,3/20/2024,3,9,18,968,3,18,73.09
416,3/20/2024,3,5,15,250,6,167,327.52
417,3/20/2024,5,2,17,355,5,4,841.39
418,3/20/2024,4,10,2,171,3,1,1020.79
419,3/20/2024,5,3,13,4,0,10,262.13
420,3/20/2024,5,3,9,5,0,18,350.53
421,3/20/2024,1,7,9,9,0,11,150.77
422,3/21/2024,5,2,17,470,5,8,1082.36
423,3/21/2024,2,2,12,457,17,10,1075.06
424,3/21/2024,4,10,16,182,5,67,1115.22
425,3/21/2024,5,2,5,413,13,177,1117.75
426,3/21/2024,5,3,20,4,0,7,288.81
427,3/21/2024,5,2,19,440,7,10,1044.89
428,3/22/2024,5,2,8,385,8,16,916.42
429,3/22/2024,2,8,4,,17,2,88.97
430,3/22/2024,2,8,18,961,3,1,96.37
431,3/22/2024,4,1,16,168,5,18,2716.31
432,3/22/2024,2,6,16,,4,0,75.77
433,3/22/2024,1,7,17,16,0,4,230.24
434,3/22/2024,5,3,9,5,0,12,349.8
435,3/23/2024,5,3,6,4,0,11,289.77
436,3/23/2024,4,1,4,167,4,6,2707.13
437,3/23/2024,3,9,20,1172,14,0,65.61
438,3/23/2024,2,6,20,117,4,1,89.5
439,3/23/2024,4,10,20,166,3,16,988.74
440,3/23/2024,1,7,17,,0,167,357.3
441,3/24/2024,1,4,13,281,3,2,1242.62
442,3/24/2024,5,3,18,5,0,19,363.72
443,3/24/2024,4,10,19,200,3,3,1194.52
444,3/24/2024,3,9,19,884,4,7,63.58
445,3/25/2024,4,1,16,158,4,16,2572.23
446,3/25/2024,3,5,10,303,4,8,205.51
447,3/25/2024,2,6,7,109,5,7,95.38
448,3/25/2024,3,5,4,307,7,1,228.92
449,3/25/2024,3,9,11,865,7,15,46.61
450,3/25/2024,5,3,13,4,0,15,299.59
451,3/26/2024,5,3,13,4,0,0,250.47
452,3/26/2024,2,6,19,100,3,8,68.39
453,3/26/2024,4,10,12,171,6,11,1036.22
454,3/27/2024,4,1,19,116,1,8,1904.56
455,3/27/2024,5,3,13,5,0,4,353.02
456,3/27/2024,5,3,16,4,0,5,256.4
457,3/27/2024,3,7,4,14,0,8,205.17
458,3/27/2024,4,1,12,122,4,9,1983.4
459,3/28/2024,4,10,3,191,4,5,1137.87
460,3/28/2024,3,7,20,16,0,7,228.14
461,3/28/2024,3,9,9,1044,6,11,69.6
462,3/28/2024,5,3,14,4,0,2,260.02
463,3/28/2024,4,1,4,151,4,2,2431.76
464,3/28/2024,5,2,3,539,11,9,1247.68
465,3/28/2024,2,2,17,520,6,17,1230.99
466,3/29/2024,4,1,18,119,1,18,1945.8
467,3/29/2024,5,3,12,4,0,13,270.79
468,3/29/2024,3,5,1,256,2,17,177.53
469,3/29/2024,4,10,10,155,2,0,923.18
470,3/29/2024,2,6,18,117,4,12,78.15
471,3/29/2024,1,4,8,306,8,8,1328.29
472,3/29/2024,5,3,14,4,0,10,258.78
473,3/30/2024,5,2,6,467,8,0,1070.06
474,3/30/2024,2,2,16,349,11,11,822.6
475,3/30/2024,1,4,3,237,4,12,1059.98
476,3/31/2024,2,6,15,84,3,6,69.41
477,3/31/2024,3,7,6,15,0,8,223.15
478,3/31/2024,3,5,12,229,8,5,183.18
479,4/1/2024,1,4,8,341,9,2,1470.8
480,4/1/2024,4,1,20,160,3,17,2615.26
481,4/1/2024,2,6,8,107,5,14,96
482,4/1/2024,1,7,13,14,0,14,218.56
483,4/1/2024,5,3,7,5,0,19,361.78
484,4/1/2024,5,2,3,405,9,14,932.48
485,4/1/2024,5,3,6,6,0,10,406.84
486,4/2/2024,4,1,17,180,2,13,2926.04
487,4/2/2024,1,1,17,156,2,1,2514.88
488,4/2/2024,4,1,4,141,4,1,2281.45
489,4/2/2024,5,2,1,455,5,2,1054.07
490,4/2/2024,1,4,18,308,4,155,1481.42
491,4/2/2024,1,1,8,151,3,20,2479.9
492,4/2/2024,5,3,4,5,0,13,355.71
493,4/3/2024,2,8,13,802,1,11,103.02
494,4/3/2024,5,3,12,4,0,7,278.13
495,4/3/2024,2,6,18,137,5,12,77.83
496,4/3/2024,1,4,20,237,6,17,1051.3
497,4/4/2024,5,2,4,326,8,18,767.89
498,4/4/2024,3,7,3,15,0,211,398.02
499,4/4/2024,2,6,19,130,4,340,352.51
500,4/4/2024,1,4,12,351,14,7,1537.26
501,4/4/2024,5,2,13,303,3,10,719.85
502,4/4/2024,2,2,2,408,9,4,936.49
503,4/4/2024,1,4,19,341,4,13,1500.6
504,4/5/2024,2,6,18,104,3,16,76.85
505,4/5/2024,1,4,14,290,8,0,1273.29
506,4/5/2024,2,6,20,126,5,11,78.59
507,4/5/2024,1,1,2,123,2,9,1985.75
508,4/6/2024,3,7,16,15,0,15,234.42
509,4/6/2024,2,8,1,529,1,1,53.9
510,4/6/2024,5,3,2,4,0,11,293.37
511,4/7/2024,3,9,13,888,4,10,55.15
512,4/7/2024,5,2,6,421,7,9,977.79
513,4/7/2024,4,1,1,140,1,16,2273.84
514,4/8/2024,3,7,1,13,0,12,202.93
515,4/8/2024,5,2,14,368,12,10,863.97
516,4/8/2024,2,2,5,426,12,16,1017.68
517,4/9/2024,2,8,19,925,5,3,75.27
518,4/9/2024,2,8,1,769,1,20,109.47
519,4/9/2024,3,5,7,218,6,8,171.42
520,4/9/2024,5,2,20,311,7,15,727.11
521,4/9/2024,5,3,12,4,0,7,256.89
522,4/9/2024,1,4,14,234,6,5,1045.58
523,4/10/2024,5,3,11,4,0,10,273.77
524,4/10/2024,5,2,17,325,5,7,767.6
525,4/10/2024,4,1,18,131,2,14,2133.12
526,4/10/2024,3,7,15,13,0,4,194.24
527,4/10/2024,4,1,17,125,1,18,2060.26
528,4/10/2024,2,6,3,94,4,3,56
529,4/11/2024,3,5,17,298,5,5,207.95
530,4/11/2024,4,1,6,186,3,4,2996.35
531,4/11/2024,1,4,10,236,3,3,1051.34
532,4/11/2024,2,2,20,399,10,15,929.27
533,4/11/2024,5,3,15,4,0,17,274.72
534,4/11/2024,5,2,2,381,8,19,894.39
535,4/12/2024,1,1,14,125,3,17,2030.7
536,4/12/2024,4,10,2,170,3,2,1019.44
537,4/12/2024,5,2,10,396,7,13,932.39
538,4/13/2024,5,2,4,403,11,9,941.03
539,4/13/2024,3,7,17,15,0,15,230.29
540,4/13/2024,4,10,6,225,4,3,1307.11
541,4/13/2024,1,7,7,14,0,0,210.62
542,4/14/2024,3,5,10,221,3,10,164.25
543,4/14/2024,5,2,6,483,9,114,1207.21
544,4/14/2024,4,10,15,224,6,9,1327.8
545,4/14/2024,3,9,18,933,3,19,59.44
546,4/14/2024,5,2,10,430,5,15,1024.58
547,4/15/2024,4,10,7,201,5,148,1320.68
548,4/15/2024,4,1,16,138,4,10,2231.73
