po_id,date,supplier_id,material_id,quantity_ordered,unit_price,lead_time_days,is_delayed
123,2/27/2024,3,4,1115,12.717,6,0
124,2/28/2024,4,11,2755,1.682,6,0
125,2/28/2024,7,12,2076,4.305,12,1
126,2/29/2024,5,7,12815,0.711,18,0
127,3/1/2024,8,5,2916,4.059,7,0
128,3/1/2024,6,8,628,7.681,1,0
129,3/1/2024,5,7,20586,0.779,28,1
130,3/1/2024,1,1,48582,1.405,4,0
131,3/1/2024,3,4,930,11.548,4,0
132,3/2/2024,8,9,44,128.254,,0
133,3/2/2024,2,6,121,43.895,9,0
134,3/2/2024,3,8,1030,7.564,4,0
135,3/3/2024,8,9,59,126.538,13,0
136,3/3/2024,8,9,44,114.225,9,0
137,3/3/2024,8,5,2594,4.036,30,1
138,3/3/2024,7,12,1058,4.268,8,0
139,3/4/2024,8,9,42,111.313,15,0
140,3/4/2024,2,6,76,44.226,5,0
141,3/4/2024,5,7,14848,0.775,10,0
142,3/5/2024,2,2,5943,2.6,5,0
143,3/6/2024,5,3,1715,5.194,9,0
144,3/6/2024,8,5,3062,4.128,,0
145,3/7/2024,6,10,279,3.54,12,1
146,3/7/2024,1,1,63481,1.449,6,0
147,3/8/2024,4,10,514,3.309,4,0
148,3/8/2024,4,11,3248,1.664,10,0
149,3/9/2024,4,4,995,12.729,11,0
150,3/10/2024,3,8,860,8.163,4,0
151,3/10/2024,1,1,43090,1.475,5,0
152,3/10/2024,5,7,16746,0.715,10,0
153,3/10/2024,5,7,11902,0.778,19,0
154,3/11/2024,8,5,1816,4.229,9,0
155,3/11/2024,3,4,652,13.081,,0
156,3/11/2024,8,5,2806,3.943,15,1
157,3/12/2024,6,8,687,8.109,5,0
158,3/12/2024,1,1,53167,1.427,5,0
159,3/13/2024,2,6,76,41.883,9,0
160,3/13/2024,8,5,3279,4.21,20,0
161,3/13/2024,4,4,859,12.981,21,1
162,3/15/2024,2,6,46,42.07,7,0
163,3/15/2024,6,8,781,8.498,2,0
164,3/15/2024,6,8,1044,7.633,4,0
165,3/17/2024,2,6,119,44.172,3,0
166,3/17/2024,8,5,2330,4.467,,0
167,3/17/2024,4,10,650,3.534,7,0
168,3/18/2024,4,11,3699,1.836,9,0
169,3/18/2024,3,8,803,8.143,4,0
170,3/18/2024,7,12,2049,4.213,13,0
171,3/19/2024,4,4,633,11.737,8,0
172,3/19/2024,6,8,640,8.778,5,0
173,3/19/2024,7,12,1527,4.838,20,0
174,3/20/2024,5,3,2470,5.806,14,0
175,3/20/2024,5,3,2162,5.116,24,1
176,3/20/2024,8,5,2788,4.536,,0
177,3/20/2024,4,4,1077,13.09,7,0
178,3/20/2024,3,4,1016,12.307,6,0
179,3/20/2024,5,7,10657,0.792,12,0
180,3/22/2024,1,1,55802,1.568,5,0
181,3/22/2024,3,4,733,13.438,1,0
182,3/22/2024,3,8,848,7.756,6,0
183,3/23/2024,7,12,1668,4.564,13,0
184,3/23/2024,4,10,608,3.562,11,0
185,3/24/2024,5,7,19563,0.803,15,0
186,3/24/2024,8,9,65,111.685,7,0
187,3/25/2024,3,4,825,11.61,5,0
188,3/25/2024,3,8,819,8.071,3,0
189,3/26/2024,7,12,1217,4.711,8,0
190,3/26/2024,7,2,7037,2.784,10,0
191,3/26/2024,3,8,870,8.447,3,0
192,3/26/2024,7,12,1663,4.641,8,0
193,3/27/2024,1,1,39024,1.404,6,0
194,3/27/2024,5,3,1803,5.509,13,0
195,3/27/2024,5,3,1678,5.398,13,0
196,3/27/2024,5,3,2221,5.079,18,0
197,3/28/2024,7,12,1441,4.325,18,0
198,3/29/2024,3,4,1148,13.042,1,0
199,3/29/2024,5,7,14471,0.729,23,1
200,3/29/2024,7,12,1193,4.609,17,0
201,3/30/2024,8,5,2026,4.499,16,0
202,3/30/2024,3,8,466,7.859,6,0
203,3/30/2024,3,8,689,8.562,4,0
204,3/30/2024,8,9,44,117.548,17,1
205,3/31/2024,1,1,36770,1.498,5,0
206,3/31/2024,4,4,1355,13.175,10,0
207,3/31/2024,8,9,63,115.133,22,1
208,3/31/2024,4,11,2739,1.761,10,0
209,3/31/2024,6,8,519,8.167,6,0
210,4/1/2024,3,4,1138,13.105,4,0
211,4/1/2024,2,6,115,44.946,6,0
212,4/1/2024,5,7,13321,0.699,9,0
213,4/2/2024,2,6,86,47.497,8,0
214,4/3/2024,1,1,37218,1.42,4,0
215,4/3/2024,8,9,42,125.586,10,0
216,4/4/2024,7,12,1515,4.807,13,1
217,4/4/2024,8,9,43,121.781,6,0
218,4/5/2024,8,9,51,114.098,12,0
219,4/6/2024,2,6,107,46.403,3,0
220,4/8/2024,4,4,1325,13.147,9,0
221,4/8/2024,4,10,520,3.612,5,0
222,4/8/2024,5,7,12931,0.775,17,0
223,4/8/2024,8,9,47,119.175,18,0
224,4/9/2024,8,9,54,116.564,8,0
225,4/10/2024,1,1,55190,1.484,5,0
226,4/10/2024,3,8,916,8.188,7,0
227,4/11/2024,1,1,58601,1.603,6,0
228,4/11/2024,8,5,2364,4.219,8,0
229,4/12/2024,6,10,497,3.627,6,0
230,4/12/2024,4,11,2811,1.813,6,0
231,4/12/2024,7,12,1728,4.317,7,0
232,4/13/2024,8,5,3399,4.182,14,0
233,4/13/2024,8,9,51,122.149,13,0
234,4/14/2024,5,3,2280,5.773,15,0
235,4/14/2024,5,3,1923,5.769,14,0
236,4/14/2024,2,2,5493,2.913,8,0
237,4/15/2024,3,8,593,7.659,4,0
238,4/16/2024,1,1,40979,1.588,2,0
239,4/16/2024,4,11,2691,1.761,6,0
240,4/17/2024,8,5,2607,4.01,11,0
241,4/17/2024,8,9,73,128.954,16,0
242,4/17/2024,5,7,18184,0.748,20,1
243,4/18/2024,7,12,1265,4.507,9,0
244,4/18/2024,5,3,2059,5.479,15,0
245,4/19/2024,3,4,913,11.923,4,0
246,4/20/2024,5,3,1990,5.22,14,0
247,4/20/2024,4,11,3340,1.909,6,0
248,4/20/2024,8,9,48,124.051,9,0
249,4/22/2024,5,7,15437,0.726,18,0
250,4/22/2024,4,11,2609,1.836,6,0
251,4/23/2024,6,10,482,3.607,5,0
252,4/23/2024,3,4,1011,12.79,2,0
253,4/24/2024,8,5,1880,4.311,17,0
254,4/24/2024,5,7,16570,0.785,14,0
255,4/25/2024,8,9,41,128.055,10,0
256,4/25/2024,6,10,571,3.555,4,0
257,4/25/2024,7,2,5515,3.003,13,0
258,4/25/2024,7,2,4866,2.832,10,0
259,4/26/2024,8,9,60,125.103,16,0
260,4/26/2024,4,11,3247,1.816,7,0
261,4/26/2024,1,1,52421,1.386,2,0
262,4/26/2024,5,3,2285,5.408,22,1
263,4/28/2024,2,6,138,45.468,9,0
264,4/29/2024,7,12,1797,4.394,19,0
265,4/30/2024,8,5,2764,4.317,16,0
266,4/30/2024,7,12,1367,4.233,12,0
267,5/1/2024,1,1,47647,1.395,3,0
268,5/2/2024,3,4,961,12.86,5,0
269,5/3/2024,7,12,1154,4.381,15,0
270,5/3/2024,4,11,3231,1.73,12,0
271,5/3/2024,4,11,3324,1.846,4,0
272,5/4/2024,5,7,16067,0.77,18,1
273,5/4/2024,3,8,882,8.552,3,0
274,5/5/2024,4,11,4099,1.719,9,0
275,5/5/2024,6,10,446,3.528,5,0
276,5/7/2024,7,12,1470,4.207,8,0
277,5/10/2024,8,9,53,119.256,12,0
278,5/10/2024,5,7,12376,0.721,17,0
279,5/10/2024,4,4,1076,13.042,10,0
280,5/11/2024,2,6,109,45.577,5,0
281,5/12/2024,4,11,3195,1.698,6,0
282,5/12/2024,2,6,95,45.075,3,0
283,5/12/2024,2,2,3534,2.919,6,0
284,5/12/2024,7,12,1670,4.403,8,0
285,5/13/2024,5,3,2121,5.448,14,0
286,5/13/2024,2,6,101,46.946,12,0
287,5/13/2024,7,12,1640,4.209,12,0
288,5/13/2024,3,8,490,8.627,3,0
289,5/14/2024,8,9,49,110.778,7,0
290,5/14/2024,8,9,35,112.005,10,0
291,5/16/2024,8,9,35,117.589,18,0
292,5/16/2024,7,2,4474,2.646,10,0
293,5/16/2024,5,3,2116,5.825,12,0
294,5/16/2024,5,3,2247,5.216,10,0
295,5/16/2024,5,3,2037,5.39,9,0
296,5/18/2024,4,11,2725,1.901,11,0
297,5/18/2024,4,11,2661,1.699,8,0
298,5/18/2024,7,2,5407,2.821,15,0
299,5/19/2024,7,12,2009,4.384,8,0
300,5/19/2024,8,9,34,122.722,17,0
301,5/20/2024,6,10,570,3.4,2,0
302,5/20/2024,8,9,37,125.487,11,0
303,5/22/2024,3,4,500,12.385,7,0
304,5/22/2024,4,4,1189,11.812,11,0
305,5/22/2024,8,9,52,110.41,11,0
306,5/23/2024,8,9,40,116.534,27,1
307,5/23/2024,5,3,1377,5.86,15,0
308,5/23/2024,7,2,4398,2.778,12,0
309,5/24/2024,8,9,53,112.188,18,0
310,5/24/2024,4,4,972,12.382,9,0
311,5/24/2024,8,9,48,125.756,16,0
312,5/25/2024,8,5,1838,4.431,12,0
313,5/26/2024,8,5,2472,4.159,15,1
314,5/26/2024,8,9,50,117.763,7,0
315,5/26/2024,7,2,4432,2.966,16,0
316,5/27/2024,5,3,1438,5.446,13,0
317,5/27/2024,8,5,2148,4.248,12,0
318,5/29/2024,8,5,1561,4.448,9,0
319,5/30/2024,4,10,478,3.33,7,0
320,5/30/2024,6,10,531,3.438,2,0
321,5/30/2024,7,12,2080,4.518,14,0
322,5/31/2024,2,6,101,42.453,11,0
323,5/31/2024,5,7,14455,0.788,18,0
324,6/1/2024,5,7,10138,0.758,14,0
325,6/1/2024,2,6,140,46.34,8,0
326,6/2/2024,4,11,2932,1.771,5,0
327,6/4/2024,3,8,986,7.738,3,0
328,6/5/2024,5,3,1810,5.353,10,0
329,6/5/2024,2,6,99,44.583,6,0
330,6/5/2024,3,8,631,8.27,5,0
331,6/5/2024,3,8,693,8.478,4,0
332,6/6/2024,2,6,112,45.912,7,0
333,6/7/2024,6,10,353,3.508,3,0
334,6/7/2024,1,1,53297,1.396,3,0
335,6/8/2024,5,7,16242,0.789,8,0
336,6/8/2024,2,6,85,45.409,5,0
337,6/9/2024,4,10,458,3.184,16,1
338,6/9/2024,7,12,1699,4.521,15,0
339,6/10/2024,8,9,56,129.173,12,0
340,6/10/2024,7,2,4878,2.753,13,0
341,6/10/2024,5,7,13800,0.784,18,0
342,6/10/2024,8,5,2891,4.365,17,0
343,6/10/2024,3,8,611,8.627,5,0
344,6/10/2024,8,9,45,118.993,9,0
345,6/11/2024,8,5,3157,3.895,11,1
346,6/11/2024,1,1,38652,1.563,6,0
347,6/12/2024,5,7,15134,0.782,16,1
348,6/12/2024,4,11,3154,1.735,12,1
349,6/13/2024,8,5,2546,4.295,26,1
350,6/13/2024,1,1,64950,1.544,5,0
351,6/13/2024,4,10,417,3.53,5,0
352,6/14/2024,4,11,2620,1.74,6,0
353,6/14/2024,2,6,110,41.865,7,0
354,6/15/2024,5,3,1570,5.749,17,0
355,6/16/2024,5,7,15913,0.695,8,0
356,6/16/2024,4,10,653,3.542,11,0
357,6/16/2024,2,6,78,44.111,22,1
358,6/16/2024,3,8,1048,7.696,4,0
359,6/16/2024,8,9,63,117.691,7,0
360,6/16/2024,7,2,3765,2.722,14,0
361,6/17/2024,2,6,89,43.914,10,0
362,6/18/2024,5,7,12640,0.709,18,0
363,6/18/2024,2,6,127,48.181,12,0
364,6/18/2024,8,9,56,122.244,20,1
365,6/18/2024,4,11,2362,1.799,17,1
366,6/18/2024,5,3,1813,5.427,7,0
367,6/18/2024,7,2,4269,3.01,16,0
368,6/18/2024,4,11,3491,1.869,8,0
369,6/19/2024,8,5,3353,4.4,7,0
370,6/19/2024,3,8,663,8.631,4,0
371,6/19/2024,8,9,47,128.273,23,1
372,6/20/2024,6,8,614,7.952,4,0
373,6/20/2024,1,1,48733,1.465,4,0
374,6/20/2024,2,6,82,47.284,11,0
375,6/20/2024,4,4,948,11.518,10,0
376,6/20/2024,4,11,2738,1.916,4,0
377,6/21/2024,4,11,3361,1.792,7,0
378,6/21/2024,8,5,2702,4.279,15,0
379,6/22/2024,7,12,1161,4.465,19,1
380,6/22/2024,5,3,1870,5.446,13,0
381,6/22/2024,8,9,58,125.036,14,0
382,6/22/2024,7,12,1812,4.249,15,0
383,6/22/2024,4,10,561,3.394,10,0
384,6/23/2024,5,7,15082,0.762,7,0
385,6/23/2024,4,4,1499,12.792,8,0
386,6/23/2024,3,4,639,12.922,3,0
387,6/23/2024,3,8,737,8.745,7,0
388,6/24/2024,3,4,799,13.446,3,0
389,6/24/2024,5,7,8772,0.709,16,1
390,6/24/2024,2,2,5007,2.906,10,0
391,6/24/2024,7,2,6548,2.82,9,0
392,6/24/2024,8,5,3235,3.921,17,0
393,6/25/2024,1,1,57766,1.471,3,0
394,6/26/2024,5,3,2816,5.773,11,0
395,6/26/2024,8,9,42,120.965,27,1
396,6/27/2024,4,11,2764,1.906,12,0
397,6/27/2024,5,7,9852,0.763,17,0
398,6/27/2024,8,9,47,129.228,11,0
399,6/28/2024,5,7,19415,0.714,15,0
400,6/30/2024,7,2,6035,2.663,8,0
401,6/30/2024,1,1,37005,1.54,4,0
402,6/30/2024,3,8,1035,8.218,4,0
403,6/30/2024,4,10,447,3.308,7,0
404,6/30/2024,5,3,2156,5.214,20,0
405,7/1/2024,7,2,6084,2.687,17,0
406,7/1/2024,6,8,640,8.208,5,0
407,7/2/2024,6,10,491,3.387,6,0
408,7/2/2024,5,7,17280,0.791,11,0
409,7/2/2024,2,6,103,43.998,4,0
410,7/2/2024,7,12,1466,4.594,8,0
411,7/2/2024,4,10,452,3.188,8,0
412,7/2/2024,5,7,14003,0.796,18,0
413,7/2/2024,2,6,86,48.397,5,0
414,7/3/2024,7,2,5479,2.749,10,0
415,7/3/2024,7,2,3294,2.646,18,1
416,7/4/2024,7,2,4342,2.907,8,0
417,7/4/2024,6,10,374,3.562,4,0
418,7/4/2024,5,7,13897,0.747,14,0
419,7/4/2024,8,5,2131,4.488,15,0
420,7/5/2024,3,8,591,8.518,1,0
421,7/5/2024,5,3,1834,5.451,7,0
422,7/5/2024,1,1,49002,1.426,2,0
423,7/6/2024,6,10,603,3.317,5,0
424,7/6/2024,8,9,65,123.9,14,0
425,7/7/2024,7,2,6213,2.688,14,0
426,7/7/2024,2,2,4517,2.89,8,0
427,7/7/2024,5,7,19026,0.801,13,0
428,7/8/2024,8,5,3307,4.323,13,0
429,7/9/2024,2,6,102,47.264,8,0
430,7/10/2024,4,11,3747,1.917,15,1
431,7/10/2024,3,4,595,12.404,7,0
432,7/10/2024,4,11,2952,1.726,9,0
433,7/10/2024,2,6,107,47.535,10,0
434,7/10/2024,5,7,23504,0.756,10,0
435,7/11/2024,7,2,5799,2.918,8,0
436,7/12/2024,7,12,1731,4.859,11,0
437,7/12/2024,5,7,15166,0.804,7,0
438,7/12/2024,5,3,2352,5.51,24,1
439,7/12/2024,6,10,525,3.628,6,0
440,7/13/2024,7,2,4507,2.66,19,1
441,7/13/2024,8,5,1652,3.933,18,0
442,7/13/2024,4,11,2624,1.911,6,0
443,7/13/2024,1,1,54883,1.391,4,0
444,7/14/2024,4,11,2922,1.688,7,0
445,7/14/2024,7,2,5465,2.951,9,0
446,7/16/2024,4,4,1230,12.364,20,1
447,7/16/2024,8,9,67,125.703,15,1
448,7/18/2024,4,10,495,3.535,8,0
449,7/18/2024,6,10,524,3.14,4,0
450,7/18/2024,3,8,801,8.13,2,0
451,7/18/2024,1,1,54999,1.421,1,0
452,7/19/2024,2,2,6202,2.592,10,0
453,7/19/2024,8,9,50,124.526,28,1
454,7/19/2024,3,4,1105,12.835,1,0
455,7/20/2024,2,6,115,47.347,7,0
456,7/21/2024,5,3,1849,5.365,19,0
457,7/21/2024,8,9,42,119.241,8,0
458,7/21/2024,2,2,4541,2.868,12,0
459,7/24/2024,2,6,82,43.232,5,0
460,7/24/2024,7,12,1776,4.406,14,0
461,7/25/2024,7,12,1775,4.548,17,0
462,7/25/2024,3,4,1293,12.218,5,0
463,7/26/2024,7,12,1336,4.271,10,0
464,7/26/2024,3,8,526,7.675,3,0
465,7/27/2024,2,2,4657,2.974,6,0
466,7/27/2024,1,1,37982,1.47,2,0
467,7/27/2024,5,7,20574,0.795,8,0
468,7/28/2024,5,3,1775,5.089,13,0
469,7/28/2024,2,6,121,42.892,6,0
470,7/28/2024,8,9,51,120.368,15,0
471,7/29/2024,3,4,515,12.608,4,0
472,7/29/2024,8,9,60,114.415,7,0
473,7/31/2024,3,4,761,12.589,4,0
474,8/1/2024,6,8,1036,8.515,4,0
475,8/1/2024,3,4,943,12.65,5,0
476,8/2/2024,2,6,91,43.964,6,0
477,8/3/2024,8,9,62,110.927,14,0
478,8/3/2024,4,11,3026,1.888,5,0
479,8/3/2024,8,5,1849,4.377,11,0
480,8/4/2024,2,6,96,43.712,8,0
481,8/4/2024,3,8,744,8.714,1,0
482,8/4/2024,7,12,1006,4.851,19,0
483,8/5/2024,7,2,4641,2.843,15,0
484,8/5/2024,4,4,1082,12.486,6,0
485,8/6/2024,4,4,1071,11.555,4,0
486,8/7/2024,5,3,2381,5.869,25,1
487,8/7/2024,5,3,1565,5.455,18,0
488,8/7/2024,5,7,17938,0.733,20,0
489,8/8/2024,5,7,19055,0.763,13,0
490,8/8/2024,5,7,15726,0.693,13,0
491,8/8/2024,7,12,1619,4.725,22,1
492,8/8/2024,2,6,65,47.176,9,0
493,8/8/2024,8,5,2273,4.337,17,0
494,8/9/2024,7,2,3832,2.601,18,0
495,8/9/2024,2,6,86,43.42,15,1
496,8/10/2024,4,11,3771,1.828,10,1
497,8/10/2024,2,2,4302,2.599,15,1
498,8/10/2024,8,5,3107,4.213,8,0
499,8/11/2024,1,1,38777,1.479,4,0
500,8/11/2024,5,7,17456,0.733,6,0
501,8/11/2024,4,10,602,3.201,12,0
502,8/11/2024,3,4,1169,12.977,3,0
503,8/11/2024,5,3,2326,5.216,16,0
504,8/12/2024,4,11,2797,1.662,8,0
505,8/13/2024,3,8,901,8.373,4,0
506,8/13/2024,7,12,1690,4.169,11,0
507,8/13/2024,7,12,1140,4.48,9,0
508,8/13/2024,7,2,5213,2.701,16,0
509,8/13/2024,4,11,2629,1.927,8,0
510,8/14/2024,2,2,6699,2.698,7,0
511,8/14/2024,4,10,588,3.518,5,0
512,8/15/2024,8,5,2723,4.436,15,0
513,8/15/2024,3,4,1069,12.983,7,0
514,8/16/2024,4,11,3497,1.848,11,0
515,8/16/2024,6,10,633,3.153,4,0
516,8/17/2024,2,6,114,44.673,9,0
517,8/18/2024,6,10,441,3.377,5,0
518,8/19/2024,1,1,53801,1.595,3,0
519,8/20/2024,5,3,2150,5.245,13,0
520,8/20/2024,3,8,813,8.531,6,0
521,8/21/2024,1,1,60517,1.569,6,0
522,8/22/2024,3,8,1107,8.574,6,0
523,8/23/2024,8,5,2274,4.433,15,1
524,8/23/2024,7,12,1658,4.833,12,0
525,8/23/2024,4,11,2936,1.763,7,0
526,8/23/2024,7,12,1224,4.651,16,0
527,8/23/2024,5,7,12993,0.723,17,1
528,8/24/2024,1,1,53797,1.603,4,0
529,8/25/2024,7,12,1469,4.624,14,0
530,8/26/2024,8,9,61,118.586,22,1
531,8/26/2024,5,7,16823,0.746,17,0
532,8/27/2024,8,9,60,128.878,20,0
533,8/27/2024,7,12,1588,4.214,12,0
534,8/27/2024,6,8,605,8.095,5,0
535,8/28/2024,4,10,481,3.593,11,0
536,8/28/2024,4,10,470,3.458,9,0
537,8/28/2024,8,9,49,114.397,15,0
538,8/29/2024,8,9,28,124.791,19,0
539,8/29/2024,4,4,916,13.474,6,0
540,8/29/2024,6,10,603,3.475,7,0
541,8/30/2024,4,11,3106,1.916,5,0
542,8/31/2024,8,9,59,127.965,17,0
543,8/31/2024,4,11,1511,1.872,3,0
544,9/1/2024,5,7,17618,0.72,10,0
545,9/1/2024,3,4,1117,13.224,3,0
546,9/1/2024,8,9,46,119.603,10,0
547,9/2/2024,2,6,91,46.323,4,0
548,9/2/2024,3,4,947,13.398,5,0
549,9/3/2024,5,7,15707,0.793,16,0
550,9/3/2024,7,12,1614,4.827,17,0
551,9/3/2024,3,8,843,8.673,1,0
552,9/4/2024,5,7,11642,0.721,18,0
553,9/4/2024,2,2,4367,2.892,5,0
554,9/5/2024,5,7,8483,0.702,13,0
555,9/5/2024,4,11,2482,1.732,5,0
556,9/5/2024,4,10,322,3.263,5,0
557,9/5/2024,5,7,10834,0.725,13,0
558,9/5/2024,2,6,81,42.905,6,0
559,9/7/2024,7,2,5030,2.774,11,0
560,9/7/2024,4,4,1072,12.828,12,0
561,9/7/2024,7,2,6176,3.023,15,0
562,9/7/2024,4,4,1313,11.667,4,0
563,9/8/2024,4,10,483,3.563,7,0
564,9/8/2024,7,12,1042,4.381,18,0
565,9/8/2024,1,1,60378,1.4,3,0
566,9/8/2024,7,12,1409,4.367,9,0
567,9/9/2024,7,2,7151,3.007,18,0
568,9/9/2024,6,8,834,8.71,4,0
569,9/9/2024,6,8,651,7.881,6,0
570,9/10/2024,5,7,13549,0.79,18,1
571,9/10/2024,8,5,1712,4.309,19,0
572,9/10/2024,7,12,1387,4.216,25,1
573,9/11/2024,2,2,4224,2.929,21,1
574,9/11/2024,1,1,53522,1.587,5,0
575,9/12/2024,8,9,43,117.723,12,0
576,9/12/2024,8,5,2000,4.525,25,1
577,9/13/2024,5,3,1988,5.526,8,0
578,9/13/2024,7,2,5708,2.876,18,0
579,9/14/2024,5,7,14593,0.721,12,0
580,9/14/2024,8,9,22,128.197,13,0
581,9/14/2024,8,9,48,118.64,9,0
582,9/14/2024,5,7,15467,0.802,16,0
583,9/14/2024,5,7,18853,0.728,9,0
584,9/14/2024,2,6,68,41.5,12,0
585,9/14/2024,7,12,1038,4.481,18,1
586,9/15/2024,2,6,98,45.901,12,0
587,9/15/2024,5,7,14803,0.762,10,0
588,9/16/2024,8,9,24,115.372,6,0
589,9/16/2024,5,3,1827,5.216,11,0
